created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
1970-01-01 00:25:23 UTC,1,phone,1523317761917,0.34476504,0.11492168,0.9672575,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,2,phone,1523317761917,-1.0055647,0.50757074,16.654066,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,3,phone,1523317761917,-0.7565677,0.61291564,10.04607,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,4,phone,1523317761917,-0.047884032,0.62249243,5.2480903,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,5,phone,1523317761917,-0.41180268,0.45010993,10.524911,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,6,phone,1523317761917,-0.38307226,0.34476504,10.314221,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,7,phone,1523317761917,-0.22026655,0.5554548,9.011775,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,8,phone,1523317761917,-0.41180268,0.39264908,9.730036,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,9,phone,1523317761917,-0.29688102,0.45968673,9.059659,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,10,phone,1523317761917,-0.2873042,0.45968673,10.275913,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,11,phone,1523317761917,-0.24899697,0.46926352,10.381259,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,12,phone,1523317761917,-0.29688102,0.4213795,10.065224,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,13,phone,1523317761917,-0.31603462,0.45968673,9.758766,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,14,phone,1523317761917,-0.29688102,0.4405331,9.749189,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,15,phone,1523317761917,-0.2873042,0.4213795,9.768343,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,16,phone,1523317761917,-0.2777274,0.45010993,9.911995,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,17,phone,1523317761917,-0.2873042,0.4309563,9.902418,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,18,phone,1523317761917,-0.2777274,0.4405331,9.739613,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,19,phone,1523317761917,-0.2777274,0.4405331,9.787497,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,20,phone,1523317761917,-0.29688102,0.4405331,9.844957,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,21,phone,1523317761917,-0.29688102,0.45010993,9.787497,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,22,phone,1523317761917,-0.29688102,0.4309563,9.787497,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,23,phone,1523317761917,-0.30645782,0.45010993,9.844957,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,24,phone,1523317761917,-0.30645782,0.45010993,9.835381,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,25,phone,1523317761917,-0.30645782,0.4405331,9.797073,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,26,phone,1523317761917,-0.2777274,0.4405331,9.768343,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,27,phone,1523317761917,-0.2873042,0.4405331,9.816227,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,28,phone,1523317761917,-0.2873042,0.4405331,9.835381,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,29,phone,1523317761917,-0.2777274,0.4405331,9.80665,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,30,phone,1523317761917,-0.2777274,0.4309563,9.768343,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,31,phone,1523317761917,-0.30645782,0.4405331,9.710882,smartwatch,1523317762645,0
1970-01-01 00:25:23 UTC,32,phone,1523317761917,-0.29688102,0.4405331,9.864111,smartwatch,1523317762645,0
